variant,R_peri_kpc,R_apo_kpc,z_max_kpc,min_r_sph_kpc,ecc,EJ_drift_rel
static_halo_0p85,0.048677309694159884,3.898017406463623,2.2076992988586426,0.051126137375831604,0.9753326197261346,
static_halo_0p85,0.09191764075012351,5.182492733001709,3.61657977104187,0.0928252711892128,0.9651458137548217,
static_halo_0p85,0.04901458745124074,8.42760181427002,4.786498546600342,0.052390970289707184,0.9884353413842608,
static_halo_0p85,0.18832633902117418,10.254156112670898,3.926862955093384,0.8762603402137756,0.9639307339241623,
static_halo_0p85,0.057971108979851436,7.484611988067627,4.0011186599731445,0.2770799398422241,0.9846283141374886,
static_halo_0p85,0.0065909246523844795,3.6778743267059326,1.4566318988800049,0.5532082319259644,0.9964223168341975,
static_halo_0p85,0.08263004102783203,3.1761252880096436,1.1914716958999634,0.4958617687225342,0.9492873611642159,
static_halo_0p85,0.023208064595889217,10.434082984924316,8.036127090454102,0.02836509793996811,0.9955613620227287,
static_halo_0p85,0.04194569012821648,3.6735451221466064,1.4579887390136719,0.5512461066246033,0.9774211848460822,
static_halo_0p85,0.08233122303096632,3.0094833374023438,1.1518993377685547,0.43460243940353394,0.9467424572711579,
static_halo_0p85,0.06646634834143217,3.4685065746307373,1.5082228183746338,0.39713001251220703,0.962394988708684,
static_halo_0p85,0.02471469913147665,3.716606378555298,1.5290275812149048,0.5194806456565857,0.9867882501296801,
static_halo_0p85,0.0868188260351806,5.129615783691406,2.3367793560028076,0.5576571226119995,0.9667133463637029,
static_halo_0p85,0.0921703957226813,11.416688919067383,5.93035364151001,0.15937282145023346,0.9839827052878763,
static_halo_0p85,0.006432237918480992,12.036049842834473,5.026458263397217,0.7103668451309204,0.9989317421648878,
static_halo_0p85,0.10950363012643761,8.187989234924316,4.511427879333496,0.11105090379714966,0.9736056102952085,
static_halo_0p85,0.023579298146834272,2.9166717529296875,1.4127302169799805,0.08047473430633545,0.9839610307166111,
static_halo_0p85,0.06212804745639651,2.7941641807556152,1.0720725059509277,0.35249826312065125,0.956497415185499,
static_halo_0p85,0.028416442674695227,9.91108512878418,5.540746212005615,0.02954760752618313,0.9942821191846697,
static_halo_0p85,0.13344035533930776,8.072525978088379,4.126479148864746,0.1335093230009079,0.9674772354851793,
static_halo_0p85,0.08280399017387406,9.002134323120117,3.8020617961883545,0.7472338676452637,0.9817711497165134,
static_halo_0p85,0.034212409081858804,5.6511125564575195,3.232426404953003,0.040252041071653366,0.9879646601419508,
static_halo_0p85,0.06635163805721063,4.389538764953613,1.7900317907333374,0.6382010579109192,0.9702184604844064,
static_halo_0p85,0.16330428479925854,12.659531593322754,6.415482044219971,0.17844195663928986,0.9745291468515348,
static_halo_0p85,0.07268408474765567,7.993030548095703,4.057497024536133,0.4200727045536041,0.9819770254574374,
static_halo_0p85,0.19966166017352044,10.432971000671387,1.3808872699737549,0.2003840208053589,0.9624436079864243,
static_halo_0p85,0.10250407147766609,10.156233787536621,4.376649856567383,0.7144242525100708,0.9800162412011344,
static_halo_0p85,0.08418981659198871,8.030882835388184,4.228540897369385,0.09459251910448074,0.9792510011425601,
static_halo_0p85,0.09989846190836976,4.323343753814697,1.7513298988342285,0.6410540342330933,0.9548302095900306,
static_halo_0p85,0.13082173763245514,5.332883358001709,2.713792324066162,0.3535382151603699,0.9521124455501856,
static_halo_0p85,0.15339257153800676,5.605689525604248,2.305725336074829,0.7469214200973511,0.9467302014624441,
static_halo_0p85,0.07976696964011776,2.6458330154418945,0.9161856174468994,0.3974517285823822,0.941468322514892,
static_halo_0p85,0.06453523300623558,3.545588970184326,1.7852323055267334,0.11378636956214905,0.9642476383780921,
static_halo_0p85,0.023330348354982457,4.1822123527526855,1.728764533996582,0.5925053358078003,0.9889049523388086,
static_halo_0p85,0.008432889911316504,2.7232773303985596,1.019186019897461,0.34994572401046753,0.9938259264481135,
static_halo_0p85,0.08907271218617013,7.422473907470703,4.250956058502197,0.10095849633216858,0.9762837890260637,
static_halo_0p85,0.02938758103140179,9.045159339904785,4.901616096496582,0.23442168533802032,0.9935230747523931,
static_halo_0p85,0.05039112910898867,9.122793197631836,5.09688138961792,0.05203985422849655,0.9890133835069481,
static_halo_0p85,0.015499998923345715,9.407803535461426,4.386192798614502,0.5669969320297241,0.9967102834230506,
static_halo_0p85,0.05526239050016066,4.3198628425598145,1.9698724746704102,0.47040697932243347,0.9747379160337725,
static_halo_0p85,0.1145155526805989,8.528719902038574,4.414585113525391,0.1621372401714325,0.9735016931378229,
static_halo_0p85,0.02916656617370324,6.268739700317383,3.3580100536346436,0.25092756748199463,0.9907376944211163,
static_halo_0p85,0.13088753451539042,7.904441833496094,4.316536903381348,0.13116317987442017,0.9674219864498769,
static_halo_0p85,0.05388480752743365,2.763291358947754,1.057532787322998,0.3431396484375,0.9617455179632207,
static_halo_0p85,0.05941364222264938,6.556747913360596,3.504478693008423,0.2793351411819458,0.9820398453926774,
static_halo_0p85,0.17959649573001787,9.628888130187988,4.817008972167969,0.4491056501865387,0.9633793592834003,
static_halo_0p85,0.09114561914210842,2.8896987438201904,1.0223734378814697,0.4680934250354767,0.9388457711683211,
static_halo_0p85,0.22561463118876057,11.165989875793457,5.259164333343506,0.3414376974105835,0.960389314595591,
static_halo_0p85,0.18617987608792572,9.487462043762207,4.816219329833984,0.1864585131406784,0.9615078007578743,
static_halo_0p85,0.14863618480167692,7.8547821044921875,4.25447940826416,0.1524040699005127,0.9628568245644471,
