source_id,tier,P_vgrf_below_25,vgrf_default,vgrf_mc_p50_kms,vgrf_mc_width_kms,vgrf_mc_sigma_kms,static_Lz_kpc_kms,static_E_mean,retrograde_flag,width_quartile,E_tertile
2100351230949905280,A,1.000000,17.435197,17.567515,1.272856,1.286273,-107.881012,-146629.354371,1,1,2
2100644044641694720,B,0.884000,19.916671,20.111501,4.044322,3.949323,84.802032,-139855.623171,0,2,3
2103318675394220928,B,0.852000,17.643286,17.767768,6.315325,6.240884,82.352654,-133787.326820,0,3,3
2103585135164839808,C,0.836900,23.782318,24.111911,0.675582,0.941560,-72.308655,-146041.232503,1,1,2
2112359959507163648,C,0.679600,19.753886,21.755141,7.480966,7.416226,63.099884,-141640.056730,0,4,3
2128705677326857472,A,1.000000,10.682902,10.844121,3.090539,3.087566,-13.356131,-137910.099595,1,2,3
2138093067083833216,A,1.000000,15.883344,15.817395,1.269876,1.247926,-120.673546,-136714.667038,1,1,3
2140901838255266688,A,1.000000,21.614565,21.616885,0.561197,0.566541,-148.796616,-144288.746004,1,1,2
2142379410084286848,A,0.984000,17.354134,17.906629,3.644571,3.649355,124.624222,-133938.619366,0,2,3
2145508517097287936,A,1.000000,9.090027,9.204578,1.507297,1.478076,5.062283,-143796.347090,0,1,2
2147982280820179968,B,0.858000,19.977857,20.662265,3.100940,3.075924,-7.178019,-139667.636587,1,2,3
2150921618998507520,A,1.000000,15.467575,15.777441,2.489674,2.504112,-33.682121,-143785.536714,1,2,2
2158380259204306432,B,0.950000,18.003616,18.056401,3.467441,3.447043,-174.108643,-127703.421973,1,2,3
2161408451666209664,C,0.724400,23.163692,23.154239,2.980370,2.953465,128.769501,-142805.446558,0,2,2
2162560426318113152,C,0.774000,22.003979,22.440502,2.834097,2.963209,-87.848526,-144093.857891,1,2,2
2162762122306358784,B,0.944000,12.476051,13.366449,4.364754,4.909069,-69.019745,-143521.059812,1,3,2
2168778340678417792,A,1.000000,20.912160,20.964380,0.715365,0.728557,-86.540451,-142279.985160,1,1,2
2221777481188424320,A,0.990000,15.028564,15.395310,2.802091,2.968879,-19.533455,-142997.366590,1,2,2
2227039297164336640,C,0.818000,16.320592,18.200302,7.511193,7.218165,-54.541405,-126099.574643,1,4,3
2247088479377521920,C,0.669100,23.492801,23.463520,3.001340,3.075642,-113.530983,-142818.470296,1,2,2
2256856918635869696,C,0.710000,20.404284,20.801386,6.074819,5.883422,13.898537,-123240.816738,0,3,3
2260725447217651968,A,1.000000,5.222513,7.255075,3.978224,3.987464,3.030226,-132891.473997,0,2,3
2278092164659280000,C,0.786000,16.524601,18.688610,7.625874,7.203361,-129.522705,-124412.107956,1,4,3
2292826342025727616,A,1.000000,10.986261,11.714966,2.162624,2.261434,-81.083603,-134230.361300,1,1,3
2296727890317731840,A,0.952000,20.092523,20.564897,1.265811,1.655875,-5.304316,-142632.443451,1,1,2
2297342654756488064,C,0.516400,24.866551,24.911514,1.702527,1.813533,-89.513474,-133779.483251,1,1,3
2308195315557676416,A,0.966000,6.474479,9.316494,5.980659,6.293616,-35.246517,-142793.200447,1,3,2
2324798765770706304,C,0.768000,20.880580,21.197735,4.102219,4.349355,-70.750450,-144572.897137,1,2,2
2364854558486538368,C,0.768000,19.054195,20.049391,5.258579,5.212075,15.220589,-143240.958837,0,3,2
2369379014474927872,C,0.565000,15.303922,22.426652,15.270279,15.210830,-120.902611,-132781.972979,1,4,3
2402446169549819264,C,0.792000,22.948930,23.111283,2.482868,2.473941,-42.544384,-145361.737925,1,2,2
2408666106828333824,A,0.996000,16.734265,16.767170,1.933784,2.082923,-5.617090,-144472.232379,1,1,2
2412075421803599744,B,0.914000,17.754787,18.016789,4.179619,4.218705,-120.114143,-143085.714946,1,2,2
2415127489987805824,A,1.000000,14.555920,14.605002,1.975380,1.984592,64.124268,-144097.279489,0,1,2
2425387380879613696,A,0.966000,10.093958,12.500869,5.817696,5.734176,25.751190,-142355.689678,0,3,2
2509780911265456000,B,0.880000,15.581416,17.129407,6.243967,6.217129,53.117359,-140233.205981,0,3,3
2514457958852094336,C,0.549200,15.411188,23.588477,18.431577,21.495240,-31.195183,-123617.030711,1,4,3
2521293931879718528,C,0.754000,21.457071,22.198606,3.769124,3.923342,-116.197754,-135646.587205,1,2,3
2560193656837956864,A,1.000000,18.168246,18.255209,0.423872,0.447839,-52.030327,-143030.279186,1,1,2
2581881592415406592,B,0.936000,13.856084,14.425786,5.092000,5.239775,-48.007214,-136851.932288,1,3,3
2588848437391155328,A,0.956000,13.502214,13.660907,5.583146,5.467189,-114.920898,-134933.306158,1,3,3
2592468819943718656,C,0.713200,23.502422,23.497459,2.256437,2.334341,-159.191650,-136496.472977,1,1,3
2596290039462213248,C,0.790000,15.836846,18.792595,6.689181,6.822077,-26.377846,-145964.708102,1,3,2
2615215241620898304,C,0.602000,22.152742,23.180042,6.467805,6.640375,-19.856030,-145818.278827,1,3,2
2617411589112364800,B,0.874000,13.893233,14.544958,7.471759,7.208988,93.695747,-146668.523346,0,4,2
2621237610403621632,C,0.558200,17.843774,23.163096,13.133222,14.479942,-106.249023,-142014.403414,1,4,2
2636202341615075456,A,0.954000,14.660048,15.400147,3.319665,3.724497,-27.081057,-144675.293526,1,2,2
2639947316874830848,A,1.000000,15.055808,15.256216,1.597649,1.629986,-95.045647,-143020.214329,1,1,2
2664570914138416000,C,0.555500,24.172022,24.298707,4.993422,5.109478,-10.566137,-139102.108689,1,3,3
2668171329387172736,C,0.810000,14.547347,16.451165,8.340658,8.148551,-74.063110,-147946.884386,1,4,1
2703415182478621312,C,0.664000,22.321786,23.288665,4.144875,4.390687,19.673124,-142908.967695,0,2,2
2712478319387225600,A,1.000000,8.546609,8.630872,0.884597,0.912767,-43.614540,-144547.424856,1,1,2
2726043612814733952,A,0.976000,22.764533,22.952467,0.920020,0.946841,91.610428,-145878.522994,0,1,2
2728314787225296000,A,0.962200,23.160176,23.187882,0.751214,0.792547,17.433191,-144276.893825,0,1,2
2729064001321068160,A,0.992000,10.462772,11.606661,3.500813,3.828540,-31.705057,-143771.851628,1,2,2
2739862584191154688,A,1.000000,8.533758,10.237417,3.068470,3.071877,29.011076,-142783.293489,0,2,2
2801519382344973824,A,0.994000,16.543844,17.074714,2.908300,2.845738,25.572750,-141734.366013,0,2,3
2820482865549001600,A,0.968000,12.010518,13.751648,4.214361,4.312755,-4.423850,-142798.521675,1,3,2
2821270906148391296,A,0.994000,19.032053,19.337699,1.140967,1.365198,-40.713951,-143044.328049,1,1,2
2822600250065297536,C,0.517700,24.801343,24.925449,1.504516,1.535902,-137.388184,-143023.214848,1,1,2
2826770250994112512,A,0.996000,18.359145,18.604614,2.237691,2.268680,-145.459808,-141775.379481,1,1,2
2826770250994112640,A,1.000000,15.975827,16.356951,0.790668,1.042231,-106.593002,-141716.800501,1,1,3
2827714143073939712,C,0.812000,19.864442,20.813985,3.004170,3.762550,-192.691406,-124360.476880,1,2,3
2844072990602159872,A,0.996000,21.691422,21.894626,1.037450,1.051780,-58.251945,-143442.730300,1,1,2
2849430017409932032,C,0.721400,23.795076,23.823848,1.781361,1.789660,-92.911232,-143279.577391,1,1,2
2861384663742056064,C,0.564000,23.418918,24.038559,6.642278,6.859253,-51.052715,-131804.396764,1,3,3
2871996462779346304,A,0.992000,17.105413,17.660358,1.283068,1.622278,26.270416,-135935.960347,0,1,3
2876514489199803776,C,0.637800,18.687112,18.714586,13.332918,13.447849,-194.917023,-119829.247048,1,4,3
2896872638481186560,A,0.996000,14.529299,14.652401,3.104083,3.090148,29.990345,-133747.395331,0,2,3
2901109297299906304,C,0.672000,19.891156,21.717819,7.449237,7.243819,-68.700279,-129218.252717,1,4,3
2901583461689356032,A,1.000000,11.155485,11.703895,2.598061,2.714908,-103.681206,-128418.432266,1,2,3
2944504890945973760,B,0.902000,20.775060,20.778399,2.947025,2.921465,-63.118401,-142979.313205,1,2,2
2960024944247308288,A,1.000000,16.995542,17.104316,1.181239,1.175811,-126.196091,-142788.508764,1,1,2
2962831928715298688,B,0.918000,20.681851,21.403031,1.933334,2.543312,-21.040707,-124464.842431,1,1,3
3023756967519625600,A,0.970000,10.270476,12.813937,3.679427,4.475263,-15.253438,-134449.049662,1,2,3
3023858947222768896,C,0.722000,17.331243,18.410916,11.011357,10.987235,-170.369308,-133086.675278,1,4,3
3063785306803993856,B,0.938000,11.573130,12.396906,7.080938,6.697936,-67.229851,-139991.287509,1,3,3
3100026206493299968,A,0.986000,15.276537,15.909038,3.076320,3.233152,10.823132,-142626.679831,0,2,2
3105087361594055808,C,0.639600,17.052918,22.173493,7.620035,8.671978,61.935829,-139724.147851,0,4,3
3115128063120404864,C,0.748000,21.177005,22.336546,3.373289,3.574201,89.152328,-139688.808779,0,2,3
