variant,R_peri_kpc,R_apo_kpc,z_max_kpc,min_r_sph_kpc,ecc
mcmillan17,0.048535024825010875,11.481379508972168,4.357486724853516,0.5652193427085876,0.991581026089527
mcmillan17,0.025976679296459467,2.156543254852295,1.4247642755508423,0.028814664110541344,0.9761957003095221
mcmillan17,0.04327472482588961,2.67680025100708,0.9722071290016174,0.43944671750068665,0.9681812264659082
mcmillan17,0.17161542094860177,8.763429641723633,3.5675811767578125,0.17168457806110382,0.961585997665405
mcmillan17,0.0327602141458638,8.523491859436035,4.22528600692749,0.03625760227441788,0.9923423915368241
mcmillan17,0.17315489420672042,9.448960304260254,3.225999593734741,0.7650602459907532,0.9640089750257185
mcmillan17,0.05759234594997028,3.2487716674804688,2.097898006439209,0.057616714388132095,0.965162731195942
mcmillan17,0.0782201107823522,5.024768352508545,3.616436719894409,0.17496703565120697,0.9693434106915819
mcmillan17,0.10455742407139067,8.410322189331055,3.866960048675537,0.10703161358833313,0.9754412443114715
mcmillan17,0.24101047716536192,10.264781951904297,3.0842127799987793,0.846327006816864,0.9541185533994593
mcmillan17,0.10279793954721317,7.08441162109375,3.936962842941284,0.10840647667646408,0.9713942000216158
mcmillan17,0.029426910462996718,3.744617462158203,1.4503388404846191,0.5516057014465332,0.9844056362047707
