source_id,static_E
4297726902697985664,-158046.57811897082
4108909007885612032,-190456.8018077819
6661884469582639360,-173210.29597237555
2896872638481186560,-133747.43166833022
2415127489987805824,-144097.45233965942
6732972706702273792,-188203.01017488798
6433260096241565696,-160178.47932287754
3203188743957945344,-132101.77433235387
797525781341967488,-134297.17036693692
5188963128051950336,-146841.17412246243
2524261307605267328,-136661.0598623536
4139717907726992512,-183513.89935036204
3645405616203675520,-146287.0062132113
618772502360901120,-125941.20504614514
2397049358459017984,-146005.43655986377
6264159262342284416,-161100.4461879055
5208650536582846080,-144045.30430677623
2636202341615075456,-144675.27936480936
4477845976978540672,-160827.54728403423
5004222016120533888,-140340.8084482475
4134306072836262016,-202079.74436587034
6030168997474631808,-206262.87646716824
3535960301790560896,-141714.16044954397
1062460838994759040,-120595.98109989539
4469997250661888256,-163233.34115590976
6475094795690102528,-154019.59753211497
4827365880031640960,-120588.88727704823
4452364176521571840,-150983.96174825932
2051316791924631040,-145935.6268174374
6695816940306321536,-155935.27842425258
1564840586628128384,-125634.99660474548
6498614586359561600,-144364.81586774555
6352101775739788032,-147035.26661487197
764971780367451136,-121561.97491792706
4052114868580815488,-193237.01347128986
6662931307732689152,-177812.01300983696
1184856617972914432,-143113.9477841279
6657258033892187904,-165958.9330783584
4044383824376209152,-204304.40779130222
6139341220587768832,-149279.25406394812
2982671619604485248,-119148.40840100055
5555649465641351936,-136000.56337363657
2221777481188424320,-142997.3439572636
4051445163000749184,-208503.2117053448
5734715925043634560,-132010.97689919858
4087692900163623168,-181905.77252403455
4107683013681445760,-199129.5116134921
2639947316874830848,-143020.15007565636
6256471300940806912,-155976.81868314111
2051168598372904320,-136525.71846300495
1724766580112461568,-121897.44514802138
4072007473444756992,-183033.30343145836
5343549377698526720,-149426.7624246333
4077937414607958016,-181295.7190875075
4545558610291265280,-154160.10411306552
1946308105711319040,-133805.69739015642
6695096214731256704,-161372.1247820768
4129312782529596288,-186726.44489119554
4505828822792588928,-160446.92732640027
5814721996024392960,-164053.553188152
6020432130424883072,-182708.15193327653
5376610455375993216,-142551.76871352058
4642014676586497920,-142717.85443264723
2369379014474927872,-132781.8744670773
4135891190644046336,-192385.67864899215
1315142595472653824,-143819.91582310028
3100026206493299968,-142626.70161791064
4897829491447125632,-117951.37901571885
3971035987748524672,-140896.879648569
4580875610973445760,-152330.75331547638
4462952232977927552,-153977.68779681931
3990350245224515584,-132595.25538464676
6473198138132725248,-163034.3825302226
5980210036578037632,-206354.67350544463
5781323986728492672,-155643.1041665631
6728701413254375424,-187205.1172248858
5980696643595892096,-199520.77021752013
6060282662399351680,-152301.42931457103
1306484903476478208,-146986.43114935534
2514457958852094336,-123617.10019673547
4040618645539029632,-194697.97937922482
3842490227919343872,-130557.54941946975
2150921618998507520,-143785.4976742154
6745497720372368768,-178749.63582898106
5569360650518152576,-141157.11587032527
5910837900908672512,-167736.53687102674
47180254402996480,-135959.4320534733
1572501433895035136,-128197.7930540915
252736083521811968,-128919.14924563072
6518905626773279360,-148583.41427649494
4198932484426569856,-164356.59341899064
2088349133825350400,-144261.25690555957
6104451453195138304,-158706.55856183288
4368367054436062464,-150402.5510190247
5805223074548304512,-155862.321054678
4519428475969901312,-154655.18592976624
4042687926425014016,-193748.5545104928
6732733352447290496,-177113.5313982365
6769530643675542912,-171700.20852492284
591864296028633472,-120975.57252373711
1718009565763783680,-130701.58253945017
2509780911265456000,-140233.15202509105
768743590582852096,-128419.23836115198
581304895593617280,-135545.46949522165
1520049815806447616,-136927.94035481272
1268983310630909440,-139732.24089443721
1167721553887934336,-145935.6563547569
6351555284101084288,-141890.7804163208
1506596947444170880,-144114.39193609633
4076496156632271104,-191143.41768979185
2000611267027733632,-131616.89814916733
861212552839001088,-130456.66913511694
6277962187714495488,-152260.59275297003
861307729314216576,-137128.67715997723
4037728338714255744,-201889.48005371814
6025048640456450688,-145339.777690586
838180945333127424,-123002.19479802347
3589608291607507968,-137149.69792171643
4083616838751387008,-176331.29770171258
4112514512628705152,-197071.72421658164
3960170579483242496,-133876.9531829006
4120241605528118912,-190781.49528917563
2312643218049533312,-140243.75150808317
2707155476222731776,-142933.56873715195
391429820279708288,-138939.48367575396
2596290039462213248,-145964.65369035746
2067782150345882112,-145017.7516861312
4099447744679037952,-186644.85148227424
415728580578589184,-138717.64191187595
5956355483304971904,-188322.7018915625
5350363772817768448,-146762.94420203313
6651645886025852416,-169349.68249804122
2769886226656319616,-136081.6474603971
3185620781529427328,-134796.8649469335
4136016363172495488,-184092.25529930336
2138093067083833216,-136714.56552495263
5763141294214631296,-140229.2651767768
6665974034361904256,-162575.4425756942
3755277790237911552,-132703.21037011157
3198192769278928896,-127644.65138696361
