source_id,tier,vgrf_default_exact,rect_t_min_myr_p16,rect_t_min_myr_p50,rect_t_min_myr_p84,rect_abs_t_min_myr_p50,rect_d_min_pc_p16,rect_d_min_pc_p50,rect_d_min_pc_p84,v_radial_sph_kms_p50,p_rect_past,p_rect_near_now,p_rect_future,p_rect_d_lt_100_pc,p_rect_d_lt_500_pc,p_rect_d_lt_1000_pc
3232335246724699904,A,8.767797580649873,159.71777128765754,347.84609425221413,600.4128810274902,348.39013689133117,7335.283699219599,8258.538364975542,8752.019427122676,-3.313270283389201,0.0266,0.0084,0.965,0.0,0.0,0.0
3168941121415464704,A,5.253767204644968,-732.3278972939647,-22.067178979076033,862.5214271188902,557.9707038062942,6292.9689188665025,8262.63982680704,8994.389003194541,0.0793016876758801,0.5036,0.007,0.4894,0.0,0.0,0.001
5494481537843688192,A,14.754787875875415,174.7458664515319,276.36643588567046,426.0156907788647,276.36643588567046,7310.48049074344,8263.025898248663,8823.343734496744,-7.191362664792724,0.0,0.0,1.0,0.0,0.0,0.0
3139433115547037440,A,22.04743904343845,-32.00919716041487,-15.727355428547831,-0.18082481244554202,16.382968519261375,8249.203466293377,8272.862626317841,8280.773684356582,0.9446336113608051,0.6364,0.3132,0.0504,0.0,0.0,0.0
3799290794021416832,A,16.917524872439778,12.431681173367755,25.963504128029278,44.57176143998263,25.963504128029278,8259.936740721541,8276.306664674012,8285.621221479623,-0.9434900108999608,0.0002,0.106,0.8938,0.0,0.0,0.0
1047870560212600832,B,22.35026002079776,95.04524337091905,124.38779358926092,164.2968207659938,124.38779358926092,8076.387979647289,8306.795801979832,8465.231256903035,-7.306417658975942,0.0,0.0,1.0,0.0,0.0,0.0
1636186487405423744,A,19.149720772252024,-17.68548076181996,-6.37451726697488,10.560846073259968,11.499926686283851,8304.984472533648,8312.192770429741,8315.455540396808,0.298238495787745,0.3992,0.4334,0.1674,0.0,0.0,0.0
1647165793906986752,B,18.790141836032795,6.09155778033644,51.80107088200508,111.34560803955755,51.813980687614446,8145.036835697804,8318.298582858974,8378.497142669547,-2.321235847652713,0.0616,0.1268,0.8116,0.0,0.0,0.0
3971035987748524672,A,15.745835422149106,-294.40291716124045,-120.53190710300342,-36.94283036137232,120.53190710300342,7637.486563213144,8320.149217233944,8536.24176845882,3.9504382247095196,0.9456,0.0424,0.012,0.0,0.0,0.0
2826770250994112512,A,15.665473159848654,46.72648695535663,84.28556287438663,125.14774249735798,84.28556287438663,8254.13187897122,8371.759770223514,8462.246522238416,-2.631687602159884,0.0048,0.0208,0.9744,0.0,0.0,0.0
3992121768910622464,B,12.119506819693292,-1069.1334560474295,-429.2795253070577,-134.09416120252112,429.2795253070577,4483.007941066566,8382.577827325134,9505.948300394899,7.535041129736664,1.0,0.0,0.0,0.0,0.0,0.0004
5026571548460661376,B,9.51305276172377,91.5105151816896,236.84748091462714,397.8617288963937,236.84748091462714,8023.105887002893,8428.916567224405,8813.854987895962,-4.483305482833634,0.0,0.0002,0.9998,0.0,0.0,0.0
5014069856438326400,B,21.185683451995835,29.000901328143826,42.45929345437394,51.26538266306462,42.45929345437394,8393.231176060499,8435.483833661316,8475.923484409264,-2.3522644679770557,0.0,0.001,0.999,0.0,0.0,0.0
3589608291607507968,B,18.07342151415919,-177.58234660078716,-145.03272784415057,-102.92986577131929,145.03272784415057,8347.856387305383,8452.623022123855,8618.731437250275,6.418307966795363,1.0,0.0,0.0,0.0,0.0,0.0
5205618461472512640,A,17.481570478676296,-192.74540613563371,-44.14530202252338,74.52481599453054,89.79183369056759,7955.561084572196,8455.496563254941,8613.727239713158,1.6038990273130813,0.59,0.061,0.349,0.0,0.0,0.0
2871996462779346304,A,17.31705751288855,-299.22087168721725,-230.63138323624753,-130.673626239653,230.63138323624753,7615.995746326903,8466.025619832752,9020.057533338731,7.658657431297202,0.9936,0.0054,0.001,0.0,0.0,0.0
2826770250994112640,A,13.799693036137276,0.16143139664360628,55.343639701492435,92.44769740323535,55.343639701492435,8379.678904007791,8466.8847145318,8513.776940559083,-1.2705116270200492,0.1106,0.1034,0.786,0.0,0.0,0.0
347579131898942336,A,15.36917410547908,5.288451709258043,170.1844097933668,261.61742342883446,188.74405271127506,7662.291189822203,8476.731466014113,8981.547980487107,-5.127901906221823,0.148,0.017,0.835,0.0,0.0,0.0
